obs.ID,PLOT_CODE,SITEABBR,PLOT_ID,YEAR,BASE_REP,TARGET_HAB,light.mean,moist.mean,ph.mean,fert.mean,comp.mean,stress.mean,rud.mean,light.mean.wt,moist.mean.wt,ph.mean.wt,fert.mean.wt,comp.mean.wt,stress.mean.wt,rud.mean.wt
BMA48_2010,BMA_48,BMA,48,2010,base,Broadleaved woodland,5.555555556,6.722222222,10.05555556,5.833333333,5.277777778,2.666666667,1.444444444,5.446153846,6.561538462,10.33076923,5.884615385,5.707692308,3.107692308,1.953846154
BMA49_2010,BMA_49,BMA,49,2010,base,Broadleaved woodland,6.384615385,7.384615385,9.615384615,6.307692308,6.615384615,3.076923077,2.076923077,6.663461538,7.663461538,9.019230769,6.528846154,6.557692308,1.769230769,1.298076923
BMA5_2010,BMA_5,BMA,5,2010,base,Lowland fen,6.928571429,7.928571429,10.35714286,6.142857143,5.857142857,1.928571429,3.071428571,6.98245614,7.98245614,8.929824561,6.692982456,7.184210526,2.5,3.228070175
BMA50_2010,BMA_50,BMA,50,2010,base,Broadleaved woodland,6.090909091,7.090909091,9.909090909,6,5.909090909,3,2.454545455,6.341463415,7.341463415,10.09756098,5.792682927,3.695121951,1.62195122,1.768292683
BMA6_2010,BMA_6,BMA,6,2010,base,Lowland fen,7.125,8.125,10.08333333,6.166666667,6.25,3.625,3.875,7.145833333,8.145833333,10.14583333,6.066666667,6.795833333,4.158333333,3.425
BMA7_2010,BMA_7,BMA,7,2010,base,Lowland fen,7.210526316,8.210526316,10.21052632,5.736842105,5.789473684,3.210526316,3.473684211,7.375,8.375,9.059782609,5.994565217,6.60326087,3.869565217,2.972826087
BMA8_2010,BMA_8,BMA,8,2010,base,Lowland fen,7.157894737,8.157894737,9.842105263,5.789473684,5.736842105,3.315789474,4.526315789,7.18,8.18,10.228,5.772,6.312,3.364,4.288
BMA9_2010,BMA_9,BMA,9,2010,base,Lowland fen,7.117647059,8.117647059,10.76470588,6.176470588,5.235294118,2.941176471,2.588235294,7.17699115,8.17699115,10.59292035,6.752212389,4.761061947,3.575221239,2.309734513
CHB1_2012,CHB_1,CHB,1,2012,base,Heathland,6.1,7,8,2.3,3.3,4.7,1.7,6.390243902,7.353658537,8.231707317,2.426829268,3.414634146,4.658536585,1.487804878
CHB10_2012,CHB_10,CHB,10,2012,base,Heathland,4.777777778,5.222222222,5.666666667,1.333333333,2.444444444,3.555555556,0.444444444,5.967213115,6.737704918,7.713114754,1.762295082,3.352459016,4.745901639,0.598360656
CHB11_2012,CHB_11,CHB,11,2012,base,Heathland,4.25,4.75,5.25,1.375,1.875,3.125,0.375,6.446153846,7.353846154,8.584615385,2.107692308,2.876923077,4.184615385,0.523076923
CHB12_2012,CHB_12,CHB,12,2012,base,Heathland,7.5,8.5,10.75,2.75,4.75,8.5,1,7.391891892,8.391891892,10.51351351,2.445945946,5.013513514,8.324324324,1
CHB13_2012,CHB_13,CHB,13,2012,base,Heathland,4.733333333,5.266666667,5.6,1.866666667,1.8,3.4,0.4,6.18705036,6.913669065,7.496402878,1.935251799,3.561151079,5.424460432,0.669064748
CHB14_2012,CHB_14,CHB,14,2012,base,Heathland,5.888888889,6.666666667,7.555555556,2.333333333,4,6.222222222,1,5.965517241,6.712643678,7.597701149,2.126436782,3.83908046,6.137931034,0.770114943
CHB15_2012,CHB_15,CHB,15,2012,base,Heathland,4.666666667,5.166666667,5.666666667,1.333333333,3,3.833333333,0.5,5.931506849,6.575342466,7.273972603,1.808219178,3.479452055,5.191780822,0.643835616
